chaos_id,canonical_smiles,molecular_formula
435,C#CC(C)(O)c1ccccc1,C10H10O
436,C#CC(C)=O,C4H4O
437,C#CC(C)Br,C4H5Br
438,C#CC(C)C,C5H8
439,C#CC(C)C(C(C)=O)C(=O)OC(C)(C)C,C12H18O3
440,C#CC(C)C(C(C)C)C(C(=O)OCC)C(=O)OCC,C15H24O4
441,C#CC(C)C(C)(O)CCC,C9H16O
442,C#CC(C)C(C)C,C7H12
443,C#CC(C)C(C)C(C(=O)OCC)C(=O)OCC,C13H20O4
444,C#CC(C)C1(C)CO1,C7H10O
445,C#CC(C)C1(C)OC1C,C8H12O
446,C#CC(C)C1(c2cccs2)CO1,C10H10OS
447,C#CC(C)C1OC1(C)C,C8H12O
448,C#CC(C)C1OC1C,C7H10O
449,C#CC(C)CC,C6H10
450,C#CC(C)CCC,C7H12
451,C#CC(C)Cl,C4H5Cl
452,C#CC(C)N(C)C,C6H11N
453,C#CC(C)N(C)c1ccccc1,C11H13N
454,C#CC(C)N(CC)CC,C8H15N
455,C#CC(C)N(CC)c1ccccc1,C12H15N
456,C#CC(C)N1CCCC1,C8H13N
457,C#CC(C)N1CCCCC1,C9H15N
458,C#CC(C)N1CCCCCC1,C10H17N
459,C#CC(C)NC1CCCCC1,C10H17N
460,C#CC(C)NCCCC,C8H15N
461,C#CC(C)NCc1ccccc1,C11H13N
462,C#CC(C)Nc1ccccc1,C10H11N
463,C#CC(C)O,C4H6O
464,C#CC(C)OC(C)=O,C6H8O2
465,C#CC(C)OC=C,C6H8O
466,C#CC(C)OCCBr,C6H9BrO
467,C#CC(C)OCCO,C6H10O2
468,C#CC(C=C)OC(C)=O,C7H8O2
469,C#CC(CC(O)COC)OC,C8H14O3
470,C#CC(CC)CC,C7H12
471,C#CC(CC)CC=C,C8H12
472,C#CC(CCC)N(C)C,C8H15N
473,C#CC(CCC)OCCl,C7H11ClO
474,C#CC(CCC)OCOC,C8H14O2
475,C#CC(F)(F)C(F)(F)F,C4HF5
476,C#CC(F)(F)F,C3HF3
477,C#CC(O)(/C=C/C)C(=C)C,C9H12O
478,C#CC(O)(/C=C/C)C1=CCCCC1,C12H16O
